timestamp,message
1656508477249,"[DEBUG]	2022-06-29T13:14:37.248Z	83f1bc61-6d58-4299-8378-83fd779714f9	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookHotel
"
1656508477250,"END RequestId: 83f1bc61-6d58-4299-8378-83fd779714f9
"
1656508477250,"REPORT RequestId: 83f1bc61-6d58-4299-8378-83fd779714f9	Duration: 5.79 ms	Billed Duration: 6 ms	Memory Size: 128 MB	Max Memory Used: 41 MB	
"
1656508483249,"START RequestId: f1bb0ccc-ace4-46ca-909a-577a794daa07 Version: $LATEST
"
1656508483257,"[DEBUG]	2022-06-29T13:14:43.256Z	f1bb0ccc-ace4-46ca-909a-577a794daa07	event.bot.name=BookTripTestTwo
"
1656508483257,"[DEBUG]	2022-06-29T13:14:43.257Z	f1bb0ccc-ace4-46ca-909a-577a794daa07	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookHotel
"
1656508483258,"END RequestId: f1bb0ccc-ace4-46ca-909a-577a794daa07
"
1656508483258,"REPORT RequestId: f1bb0ccc-ace4-46ca-909a-577a794daa07	Duration: 7.63 ms	Billed Duration: 8 ms	Memory Size: 128 MB	Max Memory Used: 41 MB	
"
1656508483274,"START RequestId: e534db49-cf14-4ecf-8d68-5d53d04664b7 Version: $LATEST
"
1656508483277,"END RequestId: e534db49-cf14-4ecf-8d68-5d53d04664b7
"
1656508483277,"REPORT RequestId: e534db49-cf14-4ecf-8d68-5d53d04664b7	Duration: 1.93 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 41 MB	
"
1656508489036,"START RequestId: cbd17137-befe-4e1f-8c59-b7e54fc65716 Version: $LATEST
"
1656508489036,"[DEBUG]	2022-06-29T13:14:43.276Z	e534db49-cf14-4ecf-8d68-5d53d04664b7	event.bot.name=BookTripTestTwo
"
1656508489036,"[DEBUG]	2022-06-29T13:14:43.276Z	e534db49-cf14-4ecf-8d68-5d53d04664b7	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookHotel
"
1656508489036,"[DEBUG]	2022-06-29T13:14:43.277Z	e534db49-cf14-4ecf-8d68-5d53d04664b7	bookHotel under={""ReservationType"": ""Hotel"", ""Location"": ""melbourne"", ""CheckInDate"": ""2022-06-30"", ""Nights"": 3, ""Guests"": ""2"", ""RoomType"": ""queen"", ""Extras"": ""yes""}
"
1656508489038,"[DEBUG]	2022-06-29T13:14:49.038Z	cbd17137-befe-4e1f-8c59-b7e54fc65716	event.bot.name=BookTripTestTwo
"
1656508489038,"[DEBUG]	2022-06-29T13:14:49.038Z	cbd17137-befe-4e1f-8c59-b7e54fc65716	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookCar
"
1656508489039,"END RequestId: cbd17137-befe-4e1f-8c59-b7e54fc65716
"
1656508489039,"REPORT RequestId: cbd17137-befe-4e1f-8c59-b7e54fc65716	Duration: 1.86 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 41 MB	
"
1656508494162,"START RequestId: bb04bb31-3348-4f95-bd23-28c0be85f6ad Version: $LATEST
"
1656508494163,"[DEBUG]	2022-06-29T13:14:54.163Z	bb04bb31-3348-4f95-bd23-28c0be85f6ad	event.bot.name=BookTripTestTwo
"
1656508494163,"[DEBUG]	2022-06-29T13:14:54.163Z	bb04bb31-3348-4f95-bd23-28c0be85f6ad	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookCar
"
1656508494165,"END RequestId: bb04bb31-3348-4f95-bd23-28c0be85f6ad
"
1656508494165,"REPORT RequestId: bb04bb31-3348-4f95-bd23-28c0be85f6ad	Duration: 2.24 ms	Billed Duration: 3 ms	Memory Size: 128 MB	Max Memory Used: 41 MB	
"
1656508501378,"START RequestId: 2e6c7a87-e74e-4c6c-9aa0-9588ba6bf9d9 Version: $LATEST
"
1656508501380,"[DEBUG]	2022-06-29T13:15:01.380Z	2e6c7a87-e74e-4c6c-9aa0-9588ba6bf9d9	event.bot.name=BookTripTestTwo
"
1656508501380,"[DEBUG]	2022-06-29T13:15:01.380Z	2e6c7a87-e74e-4c6c-9aa0-9588ba6bf9d9	dispatch userId=q9hzmk9seg61ovoiuvm12szcaex3vp9t, intentName=BookCar
"
1656508501382,"END RequestId: 2e6c7a87-e74e-4c6c-9aa0-9588ba6bf9d9
"
1656508501382,"REPORT RequestId: 2e6c7a87-e74e-4c6c-9aa0-9588ba6bf9d9	Duration: 2.52 ms	Billed Duration: 3 ms	Memory Size: 128 MB	Max Memory Used: 41 MB	
"
1656508516005,"START RequestId: 2a11acd1-6407-4409-873e-de567db8078a Version: $LATEST
"
1656508516007,"[DEBUG]	2022-06-29T13:15:16.007Z	2a11acd1-6407-4409-873e-de567db8078a	event.bot.name=BookTripTestTwo
"
